time,length,src,dst,src_port,dst_port,protocol,ttl
1745488977.494177,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.494179,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.494181,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.494182,78,104.18.43.204,192.168.0.104,443,53152,TCP,56
1745488977.494184,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.494186,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.494188,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.494341,76,192.168.0.104,74.125.4.9,54103,443,UDP,64
1745488977.499713,78,104.18.43.204,192.168.0.104,443,53152,TCP,56
1745488977.511482,78,104.18.43.204,192.168.0.104,443,53152,TCP,56
1745488977.522946,78,104.18.43.204,192.168.0.104,443,53152,TCP,56
1745488977.523062,1454,192.168.0.104,104.18.43.204,53152,443,TCP,64
1745488977.536271,78,104.18.43.204,192.168.0.104,443,53152,TCP,56
1745488977.536381,1454,192.168.0.104,104.18.43.204,53152,443,TCP,64
1745488977.54621,78,104.18.43.204,192.168.0.104,443,53152,TCP,56
1745488977.546289,1454,192.168.0.104,104.18.43.204,53152,443,TCP,64
1745488977.55859,78,104.18.43.204,192.168.0.104,443,53152,TCP,56
1745488977.558677,1454,192.168.0.104,104.18.43.204,53152,443,TCP,64
1745488977.569615,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.569773,76,192.168.0.104,74.125.4.9,54103,443,UDP,64
1745488977.574487,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.57449,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.574493,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.574654,76,192.168.0.104,74.125.4.9,54103,443,UDP,64
1745488977.57483,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.574833,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.574947,76,192.168.0.104,74.125.4.9,54103,443,UDP,64
1745488977.576447,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.576486,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.576543,76,192.168.0.104,74.125.4.9,54103,443,UDP,64
1745488977.576693,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.576767,76,192.168.0.104,74.125.4.9,54103,443,UDP,64
1745488977.578085,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.578088,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.578091,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.578094,78,104.18.43.204,192.168.0.104,443,53152,TCP,56
1745488977.578257,76,192.168.0.104,74.125.4.9,54103,443,UDP,64
1745488977.578258,1454,192.168.0.104,104.18.43.204,53152,443,TCP,64
1745488977.580261,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.58027,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.580277,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.580279,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.580409,78,192.168.0.104,74.125.4.9,54103,443,UDP,64
